id,sensortype,data
2570,Gas,763
2571,Temp,24
2572,Humid,33
2573,Gas,798
2574,Temp,25
2575,Humid,32
2576,Gas,798
2577,Temp,24
2578,Humid,41
2579,Gas,798
2580,Temp,21
2581,Humid,34
2582,Gas,797
2583,Temp,24
2584,Humid,35
2585,Gas,797
2586,Temp,24
2587,Humid,33
2588,Gas,796
2589,Temp,25
2590,Humid,33
2591,Gas,795
2592,Temp,24
2593,Humid,34
2594,Gas,795
2595,Temp,25
2596,Gas,793
2597,Temp,24
2598,Humid,34
2599,Gas,794
2600,Temp,24
2601,Humid,33
2602,Gas,794
2603,Temp,27
2604,Humid,31
2605,Gas,794
2606,Temp,24
2607,Humid,34
2608,Gas,793
2609,Temp,25
2610,Humid,40
2611,Gas,792
2612,Temp,24
2613,Humid,36
2614,Gas,792
2615,Temp,24
2616,Humid,40
2617,Gas,792
2618,Temp,24
2619,Temp,24
2620,Humid,18
2621,Gas,1020
2622,Temp,24
2623,Humid,39
2624,Gas,1014
2625,Temp,23
2626,Humid,16
2627,Gas,1012
2628,Temp,24
2629,Humid,37
2630,Gas,1015
2631,Temp,24
2632,Humid,19
2633,Gas,999
2634,Temp,24
2635,Humid,33
2636,Gas,996
2637,Temp,24
2638,Humid,19
2639,Gas,994
2640,Temp,24
2641,Humid,29
2642,Gas,976
2643,Temp,24
2644,Humid,37
2645,Gas,964
2646,Temp,24
2647,Humid,35
2648,Gas,961
2649,Temp,27
2650,Humid,16
2651,Gas,954
2652,Temp,24
2653,Humid,34
2654,Gas,952
2655,Temp,28
2656,Humid,17
2657,Gas,948
2658,Temp,25
2659,Humid,18
2660,Gas,949
2661,Temp,24
2662,Humid,19
2663,Gas,945
2664,Temp,24
2665,Humid,18
2666,Gas,941
2667,Temp,24
2668,Humid,19
2669,Gas,941
2670,Temp,24
2671,Humid,34
2672,Gas,941
2673,Temp,24
2674,Humid,18
2675,Gas,934
2676,Temp,27
2677,Humid,18
2678,Gas,930
2679,Humid,19
2680,Gas,928
2681,Temp,24
2682,Humid,34
2683,Gas,924
2684,Temp,24
2685,Humid,26
2686,Gas,926
2687,Temp,23
2688,Humid,16
2689,Gas,919
2690,Temp,24
2691,Humid,19
2692,Gas,921
2693,Temp,24
2694,Humid,19
2695,Gas,917
2696,Temp,24
2697,Humid,35
2698,Gas,928
2699,Temp,24
2700,Humid,32
2701,Gas,934
2702,Temp,24
2703,Humid,33
2704,Gas,930
2705,Temp,24
2706,Humid,17
2707,Gas,925
2708,Temp,24
2709,Humid,17
2710,Gas,927
2711,Temp,24
2712,Humid,30
2713,Gas,925
2714,Temp,24
2715,Gas,924
2716,Humid,31
2717,Temp,29
2718,Humid,16
2719,Gas,906
2720,Temp,25
2721,Humid,16
2722,Gas,915
2723,Temp,24
2724,Humid,32
2725,Gas,914
2726,Temp,25
2727,Humid,17
2728,Gas,915
2729,Temp,24
2730,Humid,33
2731,Gas,909
2732,Temp,24
2733,Humid,34
2734,Gas,908
2735,Temp,25
2736,Humid,16
2737,Gas,902
